Entity,category,value
Afghanistan,Afghanistan,97.483227
Albania,Albania,99.95599999999999
Algeria,Algeria,99.597542
Angola,Angola,44.52996
Antigua and Barbuda,Antigua and Barbuda,100.0
Argentina,Argentina,99.967832
Armenia,Armenia,99.88
Aruba,Aruba,100.0
Australia,Australia,100.0
Austria,Austria,100.0
Azerbaijan,Azerbaijan,100.0
Bahamas,Bahamas,100.0
Bahrain,Bahrain,100.0
Bangladesh,Bangladesh,88.824
Barbados,Barbados,100.0
Belarus,Belarus,100.0
Belgium,Belgium,100.0
Belize,Belize,93.792931
Benin,Benin,38.516362
Bermuda,Bermuda,100.0
Bhutan,Bhutan,99.452831
Bosnia and Herzegovina,Bosnia and Herzegovina,100.0
Botswana,Botswana,68.351764
Brazil,Brazil,99.8
Bulgaria,Bulgaria,99.94
Burkina Faso,Burkina Faso,17.1174388
Burundi,Burundi,10.5250806
Cambodia,Cambodia,82.017992
Cameroon,Cameroon,62.2501784
Canada,Canada,100.0
Cayman Islands,Cayman Islands,100.0
Central African Republic,Central African Republic,14.4881634
Chad,Chad,9.9516008
Chile,Chile,99.94
China,China,100.0
Colombia,Colombia,99.03118400000001
Comoros,Comoros,81.8619738
Congo,Congo,47.4847052
Costa Rica,Costa Rica,99.68199999999999
Croatia,Croatia,100.0
Cuba,Cuba,99.502206
Cyprus,Cyprus,100.0
Czechia,Czechia,100.0
Denmark,Denmark,100.0
Djibouti,Djibouti,60.48372880000001
Dominica,Dominica,99.9967072
Dominican Republic,Dominican Republic,99.36
Ecuador,Ecuador,98.908
Egypt,Egypt,100.0
El Salvador,El Salvador,97.43199999999999
Equatorial Guinea,Equatorial Guinea,66.4559268
Eritrea,Eritrea,49.7064516
Estonia,Estonia,100.0
Eswatini,Eswatini,73.489144
Ethiopia,Ethiopia,46.2596346
Fiji,Fiji,98.330026
Finland,Finland,100.0
France,France,100.0
Gabon,Gabon,89.33064019999999
Gambia,Gambia,59.440095
Georgia,Georgia,99.97999999999999
Germany,Germany,100.0
Ghana,Ghana,81.61471
Greece,Greece,100.0
Grenada,Grenada,92.5878476
Guatemala,Guatemala,94.4684188
Guinea,Guinea,40.153736
Guinea-Bissau,Guinea-Bissau,28.352175
Guyana,Guyana,91.024171
Haiti,Haiti,44.4054764
Honduras,Honduras,90.801342
Hungary,Hungary,100.0
Iceland,Iceland,100.0
India,India,94.6702032
Indonesia,Indonesia,98.014
Iraq,Iraq,99.8736748
Ireland,Ireland,100.0
Israel,Israel,100.0
Italy,Italy,100.0
Jamaica,Jamaica,98.44046
Japan,Japan,100.0
Jordan,Jordan,99.9517648
Kazakhstan,Kazakhstan,100.0
Kenya,Kenya,62.299784599999995
Kiribati,Kiribati,89.8150208
Kuwait,Kuwait,100.0
Kyrgyzstan,Kyrgyzstan,99.913058
Latvia,Latvia,100.0
Lebanon,Lebanon,99.8560648
Lesotho,Lesotho,41.524907400000004
Liberia,Liberia,23.0827686
Libya,Libya,69.484148
Lithuania,Lithuania,100.0
Luxembourg,Luxembourg,100.0
Madagascar,Madagascar,29.655015400000003
Malawi,Malawi,13.557353799999998
Malaysia,Malaysia,99.9689448
Maldives,Maldives,99.96000000000001
Mali,Mali,44.5735028
Malta,Malta,100.0
Mauritania,Mauritania,44.3424414
Mauritius,Mauritius,99.640101
Mexico,Mexico,99.6
Mongolia,Mongolia,95.1561772
Montenegro,Montenegro,100.0
Morocco,Morocco,99.1
Mozambique,Mozambique,28.3849606
Myanmar,Myanmar,66.07956779999999
Namibia,Namibia,53.5277358
Nauru,Nauru,99.90222800000001
Nepal,Nepal,90.46327
Netherlands,Netherlands,100.0
New Caledonia,New Caledonia,100.0
New Zealand,New Zealand,100.0
Nicaragua,Nicaragua,86.9424688
Niger,Niger,18.2295054
Nigeria,Nigeria,56.2
North Macedonia,North Macedonia,99.96000000000001
Norway,Norway,100.0
Oman,Oman,100.0
Pakistan,Pakistan,72.92614160000001
Panama,Panama,94.8628512
Papua New Guinea,Papua New Guinea,55.918072200000005
Paraguay,Paraguay,99.4
Peru,Peru,95.812634
Philippines,Philippines,94.4004468
Poland,Poland,100.0
Portugal,Portugal,100.0
Puerto Rico,Puerto Rico,100.0
Qatar,Qatar,100.0
Romania,Romania,99.82000000000001
Rwanda,Rwanda,37.4813514
Saint Kitts and Nevis,Saint Kitts and Nevis,100.0
Saint Lucia,Saint Lucia,98.85981919999999
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,99.95571
Samoa,Samoa,99.123554
Sao Tome and Principe,Sao Tome and Principe,73.223362
Saudi Arabia,Saudi Arabia,99.96600000000001
Senegal,Senegal,66.59378799999999
Serbia,Serbia,99.96000000000001
Seychelles,Seychelles,100.0
Sierra Leone,Sierra Leone,23.740177199999998
Singapore,Singapore,100.0
Slovakia,Slovakia,100.0
Slovenia,Slovenia,100.0
Solomon Islands,Solomon Islands,66.1125708
Somalia,Somalia,50.5818164
South Africa,South Africa,84.477108
South Sudan,South Sudan,5.88777652
Spain,Spain,100.0
Sri Lanka,Sri Lanka,98.864688
Sudan,Sudan,52.280673
Suriname,Suriname,97.188568
Sweden,Sweden,100.0
Switzerland,Switzerland,100.0
Tajikistan,Tajikistan,99.444164
Thailand,Thailand,99.893992
Togo,Togo,50.2251106
Tonga,Tonga,98.58282799999999
Trinidad and Tobago,Trinidad and Tobago,100.0
Tunisia,Tunisia,99.96000000000001
Turkey,Turkey,100.0
Turkmenistan,Turkmenistan,99.97723
Tuvalu,Tuvalu,98.92169
Uganda,Uganda,36.9031138
Ukraine,Ukraine,100.0
United Arab Emirates,United Arab Emirates,100.0
United Kingdom,United Kingdom,100.0
United States,United States,100.0
Uruguay,Uruguay,99.84
Uzbekistan,Uzbekistan,100.0
Vanuatu,Vanuatu,62.8595946
Yemen,Yemen,71.3137022
Zambia,Zambia,40.7135636
Zimbabwe,Zimbabwe,46.3684314
Afghanistan,Average,84.17791348182857
Albania,Average,84.17791348182857
Algeria,Average,84.17791348182857
Angola,Average,84.17791348182857
Antigua and Barbuda,Average,84.17791348182857
Argentina,Average,84.17791348182857
Armenia,Average,84.17791348182857
Aruba,Average,84.17791348182857
Australia,Average,84.17791348182857
Austria,Average,84.17791348182857
Azerbaijan,Average,84.17791348182857
Bahamas,Average,84.17791348182857
Bahrain,Average,84.17791348182857
Bangladesh,Average,84.17791348182857
Barbados,Average,84.17791348182857
Belarus,Average,84.17791348182857
Belgium,Average,84.17791348182857
Belize,Average,84.17791348182857
Benin,Average,84.17791348182857
Bermuda,Average,84.17791348182857
Bhutan,Average,84.17791348182857
Bosnia and Herzegovina,Average,84.17791348182857
Botswana,Average,84.17791348182857
Brazil,Average,84.17791348182857
Bulgaria,Average,84.17791348182857
Burkina Faso,Average,84.17791348182857
Burundi,Average,84.17791348182857
Cambodia,Average,84.17791348182857
