Entity,category,value,Percentage
Afghanistan,Renewables,18.9,19%
Albania,Renewables,0.0,0%
Algeria,Renewables,0.1425,0%
Angola,Renewables,54.3325,54%
Antigua and Barbuda,Renewables,0.7525,1%
Argentina,Renewables,10.2525,10%
Armenia,Renewables,11.795,12%
Aruba,Renewables,7.2975,7%
Australia,Renewables,9.7275,10%
Austria,Renewables,34.125,34%
Azerbaijan,Renewables,1.85,2%
Bahamas,Renewables,1.2825,1%
Bahrain,Renewables,0.0,0%
Bangladesh,Renewables,27.619999999999997,28%
Barbados,Renewables,4.68,5%
Belarus,Renewables,7.27,7%
Belgium,Renewables,9.9275,10%
Belize,Renewables,33.34,33%
Benin,Renewables,45.31,45%
Bermuda,Renewables,0.81,1%
Bhutan,Renewables,83.285,83%
Bosnia and Herzegovina,Renewables,28.4925,28%
Botswana,Renewables,25.895,26%
Brazil,Renewables,46.3275,46%
Bulgaria,Renewables,18.442500000000003,18%
Burkina Faso,Renewables,68.29249999999999,68%
Burundi,Renewables,86.9975,87%
Cambodia,Renewables,56.0,56%
Cameroon,Renewables,79.1525,79%
Canada,Renewables,22.155,22%
Cayman Islands,Renewables,0.0075,0%
Central African Republic,Renewables,91.5925,92%
Chad,Renewables,77.8825,78%
Chile,Renewables,24.845,25%
China,Renewables,13.4625,13%
Colombia,Renewables,31.1775,31%
Comoros,Renewables,56.34,56%
Congo,Renewables,68.8375,69%
Costa Rica,Renewables,36.1175,36%
Croatia,Renewables,31.5125,32%
Cuba,Renewables,21.7125,22%
Cyprus,Renewables,11.3875,11%
Czechia,Renewables,14.95,15%
Denmark,Renewables,34.89,35%
Djibouti,Renewables,26.2,26%
Dominica,Renewables,9.2675,9%
Dominican Republic,Renewables,15.5275,16%
Ecuador,Renewables,16.465,16%
Egypt,Renewables,5.234999999999999,5%
El Salvador,Renewables,22.075,22%
Equatorial Guinea,Renewables,4.745,5%
Eritrea,Renewables,75.095,75%
Estonia,Renewables,28.6625,29%
Eswatini,Renewables,66.7925,67%
Ethiopia,Renewables,89.7625,90%
Fiji,Renewables,27.1275,27%
Finland,Renewables,44.2025,44%
France,Renewables,14.775,15%
Gabon,Renewables,87.72,88%
Gambia,Renewables,48.7225,49%
Georgia,Renewables,27.2075,27%
Germany,Renewables,15.6875,16%
Ghana,Renewables,43.2325,43%
Greece,Renewables,17.29,17%
Grenada,Renewables,10.985,11%
Guatemala,Renewables,63.86750000000001,64%
Guinea,Renewables,70.6425,71%
Guinea-Bissau,Renewables,86.59,87%
Guyana,Renewables,17.9375,18%
Haiti,Renewables,76.2375,76%
Honduras,Renewables,48.6025,49%
