Entity,category,value
Afghanistan,Afghanistan,31477500.0
Albania,Albania,0.0
Algeria,Algeria,70000.0
Angola,Angola,31380000.0
Antigua and Barbuda,Antigua and Barbuda,19550000.0
Argentina,Argentina,430270000.0
Armenia,Armenia,55565000.0
Aruba,Aruba,0.0
Australia,Australia,0.0
Austria,Austria,0.0
Azerbaijan,Azerbaijan,15000.0
Bahamas,Bahamas,230000.0
Bahrain,Bahrain,0.0
Bangladesh,Bangladesh,259485000.0
Barbados,Barbados,14336666.666666666
Belarus,Belarus,0.0
Belgium,Belgium,0.0
Belize,Belize,4477500.0
Benin,Benin,65270000.0
Bermuda,Bermuda,0.0
Bhutan,Bhutan,220000.0
Bosnia and Herzegovina,Bosnia and Herzegovina,0.0
Botswana,Botswana,13333.333333333334
Brazil,Brazil,247747500.0
Bulgaria,Bulgaria,0.0
Burkina Faso,Burkina Faso,32767500.0
Burundi,Burundi,31797500.0
Cambodia,Cambodia,44125000.0
Cameroon,Cameroon,297652500.0
Canada,Canada,0.0
Cayman Islands,Cayman Islands,0.0
Central African Republic,Central African Republic,13452500.0
Chad,Chad,20670000.0
Chile,Chile,254700000.0
China,China,534367500.0
Colombia,Colombia,484072500.0
Comoros,Comoros,5595000.0
Congo,Congo,6936666.666666667
Costa Rica,Costa Rica,113350000.0
Croatia,Croatia,0.0
Cuba,Cuba,38712500.0
Cyprus,Cyprus,0.0
Czechia,Czechia,0.0
Denmark,Denmark,0.0
Djibouti,Djibouti,15087500.0
Dominica,Dominica,7950000.0
Dominican Republic,Dominican Republic,51787500.0
Ecuador,Ecuador,58090000.0
Egypt,Egypt,711980000.0
El Salvador,El Salvador,80780000.0
Equatorial Guinea,Equatorial Guinea,0.0
Eritrea,Eritrea,30000.0
Estonia,Estonia,0.0
Eswatini,Eswatini,0.0
Ethiopia,Ethiopia,126467500.0
Fiji,Fiji,1490000.0
Finland,Finland,0.0
France,France,0.0
Gabon,Gabon,13620000.0
Gambia,Gambia,34010000.0
Georgia,Georgia,47695000.0
Germany,Germany,0.0
Ghana,Ghana,136215000.0
Greece,Greece,0.0
Grenada,Grenada,720000.0
Guatemala,Guatemala,20522500.0
Guinea,Guinea,525072500.0
Guinea-Bissau,Guinea-Bissau,2130000.0
Guyana,Guyana,22720000.0
Haiti,Haiti,18777500.0
Honduras,Honduras,90515000.0
Hungary,Hungary,0.0
Iceland,Iceland,0.0
India,India,1381172500.0
Indonesia,Indonesia,478785000.0
Iraq,Iraq,186765000.0
Ireland,Ireland,0.0
Israel,Israel,0.0
Italy,Italy,0.0
Jamaica,Jamaica,22295000.0
Japan,Japan,0.0
