Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Afghanistan,97.483227,30.860000000000003,9.628,31477500.0,18.900000000000002,0.16599999999999998,0.0,0.9380000000000001,84.9027238,824.3708979999999,2.3475,5557.50012425,,1.5314096553999998,505.05765594,652230.0,33.93911,67.709953
Albania,99.95599999999999,79.66,,,,0.0,0.0,6.226000000000001,100.0,12795.8734,2.61,4889.99998575,,1.8589179649999998,4916.9380592,28748.0,41.153332,20.168331
Algeria,99.597542,99.64,15.144,70000.0,0.14250000000000002,71.29400000000001,0.0,0.664,0.914285634,15524.6174,5.0725,162509.998325,0.254630218,0.30000000000000016,3898.9391411999995,2381741.0,28.033886000000003,1.659626
Angola,44.52996,49.0,93.84200000000001,31380000.0,54.332499999999996,3.7980000000000005,0.0,9.344,70.5048876,3518.6849199999997,2.7525,25794.999597500002,,-2.151104804,3095.4640272,1246700.0,-11.202692,17.873887
Antigua and Barbuda,100.0,100.0,83.51199999999999,19550000.0,0.7525,0.32,0.0,0.01,3.01247768,32032.284200000002,3.65,507.49999285,,0.03885777139999931,15726.261038,443.0,17.060816,-61.796428000000006
Argentina,99.967832,99.84,268.83599999999996,430270000.0,10.2525,96.13,7.6259999999999994,34.214,30.3428382,21486.5334,3.3475,176870.00274999999,11.327109,-2.760084906,11566.8198786,2780400.0,-38.416097,-63.61667200000001
Armenia,99.88,98.0,462.76000000000005,55565000.0,11.795,2.8280000000000003,2.216,2.244,61.24383340000001,15598.122,3.7075,5580.000043,,2.6200000002,4119.512124999999,29743.0,40.069099,45.038189
Aruba,100.0,,360.02799999999996,,7.2975,0.762,0.0,0.146,16.088528,49129.4718,3.14,883.747,,2.049999345,29352.08499666667,179.0,12.52111,-69.96833
Australia,100.0,100.0,,,9.7275,201.52399999999997,0.0,47.902,19.189665400000003,64943.16479999999,4.43,386937.5,8.381979320000001,2.0035710724,53512.9844,7741220.0,-25.274398,133.775136
Austria,100.0,100.0,,,34.125,15.102,0.0,52.45,77.635797,46730.1806,2.895,64342.4997325,35.7191406,0.3012602976,48550.294664,83871.0,47.516231,14.550072
Azerbaijan,100.0,96.53999999999999,125.396,15000.0,1.85,22.152,0.0,1.714,7.20121944,17189.954999999998,4.4125,33109.999655,2.8232570200000002,-0.64,4358.9662706,86600.0,40.143105,47.576927
Bahamas,100.0,100.0,4.5200000000000005,230000.0,1.2825,1.9900000000000002,0.0,0.0,0.0,36207.8004,2.3875,,,,,13878.0,25.025885,-78.035889
Bahrain,100.0,100.0,5.178,,0.0,28.663999999999998,0.0,0.01,0.034996595,148273.19199999998,8.4875,31222.4993725,,1.408395163,22879.845756000002,765.0,26.066700000000004,50.5577
Bangladesh,88.824,22.04,2.7880000000000003,259485000.0,27.619999999999997,71.3,0.0,1.2879999999999998,1.78619292,2637.25328,2.4425,81977.49710000001,0.75621396,6.7846452494000005,1696.1636756,148460.0,23.684994,90.356331
Barbados,100.0,100.0,103.276,14336666.666666666,4.68,0.968,0.0,0.038,3.77837312,24106.5752,3.705,1239.99998,,-3.3404338090000003,17111.865024,430.0,13.193887,-59.543198
Belarus,100.0,99.47999999999999,,,7.27,34.008,0.068,0.834,2.54601264,30021.912,6.145,56942.49916,0.66235866,0.7309869316,6089.4570068,207600.0,53.709807,27.953389000000005
Belgium,100.0,100.0,,,9.9275,28.032,38.46,18.03,66.6984986,61912.408200000005,3.9625,93402.50206,7.8560866,0.2390740324000001,45068.76121,30528.0,50.503887,4.469936
Belize,93.792931,82.4,276.544,4477500.0,33.34,0.348,0.0,0.368,51.4152824,9511.19972,5.87,639.9999857,,-1.5122432209999999,4799.6480114,22966.0,17.189877,-88.49765
Benin,38.516362,4.14,0.296,65270000.0,45.31,0.23199999999999998,0.0,0.004,1.8695652000000003,2535.76342,6.0175,7082.499981,,5.2845936184,1195.2525958,112622.0,9.30769,2.315834
Bermuda,100.0,,,,0.81,0.0,0.0,0.0,,49459.7242,1.805,612.389,,-0.672555614,111181.51434,54.0,32.299507,-64.790337
Bhutan,99.452831,78.26,2517.182,220000.0,83.285,0.0,0.0,8.064,100.0,25200.592,8.1225,999.99998495,,2.302565385,3156.858352,38394.0,27.514162,90.433601
Bosnia and Herzegovina,100.0,44.74,,,28.4925,11.197999999999999,0.0,5.418,32.4155408,20698.8338,6.2825,22172.5001325,,1.9390730703999999,5731.8180412,51197.0,43.915886,17.679076
Botswana,68.351764,63.56,2.012,13333.333333333334,25.895,2.684,0.0,0.006,0.229786928,9750.4774,2.83,7129.99999525,,1.9041172410000002,7078.170475000001,581730.0,-22.328474,24.684866
Brazil,99.8,95.78,649.894,247747500.0,46.3275,90.742,14.597999999999999,490.60599999999994,84.7371256,16468.5664,3.9850000000000003,442964.9887,45.935320000000004,-0.5634552758,8696.903685399999,8515770.0,-14.235004,-51.92528
Bulgaria,99.94,,,,18.442500000000003,20.378,16.130000000000003,7.502,53.8213736,29704.3582,5.0025,41377.500535,9.8219973,1.6274029230000004,9068.1889442,110879.0,42.733883,25.48583
Burkina Faso,17.1174388,9.58,4.148,32767500.0,68.29249999999999,1.446,0.0,0.194,11.8064506,886.996196,4.6425,4410.00002625,,5.2768950452,776.35908772,274200.0,12.238333,-1.561593
Burundi,10.5250806,0.2,5.172,31797500.0,86.9975,0.088,0.0,0.20400000000000001,70.965075,268.90096600000004,7.6274999999999995,594.9999988,,0.7299953752,244.0758714,27830.0,-3.3730559999999996,29.918885999999997
Cambodia,82.017992,29.3,80.256,44125000.0,56.0,3.41,0.0,4.002,53.5916152,3488.4139999999998,4.655,13629.999875,,5.0611809426,1470.7538402,181035.0,12.565679,104.990963
Cameroon,62.2501784,22.119999999999997,30.256,297652500.0,79.1525,2.896,0.0,5.04,63.49135,1754.85962,4.485,9317.5001145,,3.1998919492,1507.6339794,475440.0,7.369722,12.354722
Canada,100.0,100.0,,,22.155,112.272,94.88199999999999,428.34,82.341634,107845.5392,7.0775,571302.5207750001,29.4538568,0.6929765836000001,44725.293926,9984670.0,56.130366,-106.34677100000002
Cayman Islands,100.0,,140.296,,0.0075,0.658,0.0,0.012,1.76186136,44479.6054,1.9175,546.383,,1.5410348300000003,84503.940084,264.0,19.3299,81.2524
Central African Republic,14.4881634,0.72,4.1,13452500.0,91.5925,0.0,0.0,0.154,100.0,298.26994,8.717500000000001,224.99999775,,3.3792097300000004,457.95000408,622984.0,6.611110999999999,20.939444
Chad,9.9516008,5.619999999999999,0.21200000000000002,20670000.0,77.8825,0.288,0.0,0.01,3.35780502,404.131264,3.8025,2200.0000475,,-0.9140616478,690.87194952,1284000.0,15.454166,18.732207
Chile,99.94,100.0,585.72,254700000.0,24.845,45.338,,30.554000000000002,40.1799784,24274.2496,3.56,87885.0002275,23.431437600000002,0.35599936219999984,14522.794436,756096.0,-35.675147,-71.542969
China,100.0,75.28,491.534,534367500.0,13.4625,4854.146,294.236,1844.9360000000001,30.454838000000002,27134.643,6.4799999999999995,10295204.8365,12.847198599999999,5.7685929272,9479.0611272,9596960.0,35.86166,104.195397
Colombia,99.03118400000001,91.92,250.464,484072500.0,31.1775,22.242,0.0,55.05800000000001,71.1676008,11084.511999999999,2.455,79324.9988575,30.640110600000003,0.4992852702,6147.3207078,1138910.0,4.570868,-74.297333
Comoros,81.8619738,7.32,1.7399999999999998,5595000.0,56.34,0.092,0.0,0.0,0.0,1507.7232199999999,3.04,280.00000117499997,,2.4810799898,1369.4720634,2235.0,-11.6455,43.3333
Congo,47.4847052,31.089999999999996,42.730000000000004,6936666.666666667,68.8375,2.136,0.0,1.092,34.8640806,3658.76574,5.925,,,,,2345409.0,-4.1128,13.7289
Costa Rica,99.68199999999999,95.22,610.014,113350000.0,36.1175,0.262,0.0,11.084,97.679085,12450.6634,2.0949999999999998,8237.4999525,,1.8341130326,12311.380650000001,51100.0,9.748917,-83.753428
Croatia,100.0,100.0,,,31.5125,4.34,0.0,8.431999999999999,65.8688288,22826.9536,3.205,16809.999945,23.9024674,1.0457436884,14166.103826,56594.0,45.1,15.2
